age_in_days,maintain_age_in_days,num_of_users,maintainer_count,maintainer_is_new,has_readme,version_count,has_repository,label
2825,101,0,8,0,0,540,1,0
3188,9,1,2,0,1,950,1,0
3207,9,2,2,0,1,972,1,0
3326,10,10,2,0,0,973,1,0
3195,11,6,2,0,1,663,1,0
3629,10,13,2,0,0,1030,1,0
3624,10,8,2,0,0,1022,1,0
3629,10,9,2,0,0,1031,1,0
3629,10,44,2,0,0,1031,1,0
3581,10,11,2,0,0,1021,1,0
3629,1393,10,2,0,1,252,1,0
3482,11,27,2,0,1,687,1,0
3629,10,9,2,0,0,1030,1,0
3629,10,7,2,0,0,1030,1,0
3629,10,5,2,0,0,1030,1,0
3802,10,17,2,0,0,1045,1,0
3079,20,3,4,0,0,147,1,0
3079,20,6,4,0,0,222,1,0
2873,19,1,4,0,0,243,1,0
3079,947,2,4,0,0,65,1,0
3079,20,1,4,0,0,142,1,0
3047,20,0,4,0,0,88,1,0
3047,947,0,4,0,0,53,1,0
3079,947,2,4,0,0,86,1,0
3079,1393,0,4,0,1,38,1,0
3079,20,3,4,0,0,163,1,0
3079,1393,1,4,0,0,48,1,0
3079,19,10,4,0,0,203,1,0
3079,20,6,4,0,0,101,1,0
3079,20,1,4,0,0,109,1,0
3079,20,3,4,0,0,111,1,0
2801,19,1,4,0,0,172,1,0
3079,19,2,4,0,0,198,1,0
3079,20,1,4,0,0,213,1,0
3079,20,2,4,0,0,202,1,0
2977,1237,0,4,0,0,85,1,0
2977,283,1,4,0,1,105,1,0
2946,54,0,8,0,1,84,1,0
2946,54,1,8,0,1,84,1,0
3133,16,6,8,0,1,62,1,0
3302,25,0,8,0,1,433,1,0
2884,203,2,1,0,1,162,1,0
2920,203,1,1,0,1,56,1,0
2973,957,0,3,0,1,109,1,0
2973,957,0,3,0,1,131,1,0
2973,7,0,2,0,1,195,1,0
3000,156,4,1,0,1,302,1,0
3334,1392,0,3,0,0,29,1,0
3715,545,5,10,0,1,50,1,0
2854,964,1,1,0,1,50,1,0
2633,7,3,2,0,0,4510,1,0
2633,7,2,2,0,0,4593,1,0
3610,245,2,1,0,1,80,1,0
3610,245,0,1,0,1,20,1,0
3610,125,7,1,0,1,57,1,0
3610,245,1,1,0,1,76,1,0
3610,74,4,1,0,1,194,1,0
3610,245,1,1,0,1,210,1,0
3660,41,7,1,0,1,160,1,0
3610,41,5,1,0,1,222,1,0
3610,245,4,1,0,1,67,1,0
3610,24,25,1,0,1,2315,1,0
3610,144,4,1,0,1,182,1,0
3610,53,9,1,0,0,695,1,0
